  I     	  II     	  PW     	  PW'
-32.04	-140.08	 15.69(A)	0
-33.26	-140.08	15.69	-10.17
-34.18	-139.16	15.65	-10.17
-35.4	-138.55	15.61	-5.09
-35.71	-140.08	15.58	-10.17
-35.1	-143.43	15.54	0
-32.65	-146.48	15.54	-5.09
-27.47	-147.4	15.52	0
-20.14	-147.09	15.52	0
-11.9	-147.71	15.52	5.09
-5.49	-150.76	15.54	0
-3.97	-154.42	15.54	-5.09
-7.02	-154.72	15.52	-5.09
-11.6	-148.01	15.5	-15.26
-13.12	-134.28	15.44	-20.35
-7.63	-116.58	15.36	-20.35
2.44	-100.1	15.28	-15.26
12.51	-87.89	15.22	-5.09
17.7	-81.18	15.2	10.17
18.01	-76.29	15.24	25.43
17.7	-70.5	15.34	40.69
20.45	-61.34	15.5	61.04
25.63	-50.05	15.75	66.12
29.3	-38.76	16.01	71.21
28.69	-29.3	16.3	61.04
24.41	-21.06	16.54	45.78
20.14	-13.73	16.72	30.52
18.62	-6.71	16.85	15.26
18.62	-0.31	16.91	15.26
18.01	5.8	16.97	15.26
16.17	11.29	17.03	25.43
13.43	16.48	17.13	50.86
10.68	21.36	17.33	71.21
7.63	24.11	17.62	96.64
1.83	22.89	18.01	101.73
-6.41	17.09	18.41	106.82
-14.04	8.85	18.84	96.64
-18.62	0.92	19.23	71.21
-18.92	-5.19	19.51	55.95
-17.7	-8.85	19.74	30.52
-18.62	-10.99	19.86	20.35
-22.28	-12.21	19.94	15.26
-26.86	-12.82	20	20.35
-31.13	-13.43	20.08	30.52
-34.79	-14.34	20.2	50.86
-38.15	-14.34	20.41	66.12
-40.89	-13.12	20.67	76.3
-42.42	-10.99	20.98	81.38
-42.11	-9.77	21.3	76.3
-41.5	-10.99	21.61	66.12
-40.89	-14.04	21.87	61.04
-40.89	-17.4	22.12	66.12
-39.98	-18.62	22.38	76.3
-37.54	-18.01	22.69	91.56
-33.57	-18.31	23.05	111.9
-29.91	-21.36	23.5	132.25
-26.86	-27.16	24.03	132.25
-25.33	-32.96	24.56	127.16
-24.41	-33.87	25.07	106.82
-23.19	-28.38	25.49	86.47
-20.75	-18.62	25.84	50.86
-16.78	-8.54	26.04	25.43
-11.9	-2.75	26.14	5.09
-7.93	-0.92	26.16	-10.17
-6.41	-0.31	26.12	-15.26
-7.02	3.05	26.06	0
-8.85	9.46	26.06	15.26
-9.77	15.56	26.12	30.52
-8.54	18.92	26.25	50.86
-6.41	18.01	26.45	55.95
-5.19	15.56	26.67	61.04
-6.1	14.04	26.92	45.78
-7.93	14.34	27.1	30.52
-8.85	14.95	27.22	0
-7.93	14.65	27.22	-20.35
-5.8	14.65	27.14	-45.78
-3.36	16.17	26.96	-61.04
-1.53	19.84	26.71	-66.12
-0.92	23.19	26.45	-61.04
-2.14	24.41	26.21	-45.78
-4.58	22.89	26.02	-40.69
-8.24	20.45	25.86	-30.52
-11.6	20.14	25.74	-30.52
-14.34	20.75	25.62	-45.78
-16.48	18.92	25.43	-76.3
-19.23	12.21	25.13	-106.82
-22.89	0.92	24.7	-147.51
-26.86	-10.99	24.11	-178.03
-30.21	-18.62	23.4	-188.2
-32.04	-20.45	22.64	-183.11
-32.65	-19.53	21.91	-172.94
-32.65	-19.84	21.22	-142.42
-33.26	-24.41	20.65	-96.64
-35.71	-32.04	20.26	-55.95
-40.28	-38.45	20.04	-15.26
-45.47	-40.59	19.98	25.43
-49.13	-38.45	20.08	40.69
-49.13	-36.62	20.24	50.86
-45.78	-38.15	20.45	45.78
-40.89	-43.03	20.63	20.35
-37.84	-47.61	20.71	-5.09
-36.32	-47.3	20.69	-30.52
-34.48	-40.28	20.57	-66.12
-31.13	-29.91	20.31	-86.47
-27.16	-20.45	19.96	-111.9
-25.94	-15.26	19.51	-127.16
-30.21	-13.73	19	-132.25
-39.06	-13.12	18.47	-142.42
-48.22	-11.29	17.9	-137.33
-51.88	-7.93	17.35	-132.25
-48.83	-5.19	16.83	-116.99
-41.81	-3.36	16.36	-106.82
-34.18	-3.05	15.93	-81.38
-28.08	-2.75	15.61	-61.04
-22.89	-1.83	15.36	-30.52
-18.01	-1.22	15.24	-5.09
-14.04	-0.61	15.22	20.35
-12.51	0.61	15.3	50.86
-14.65	4.27	15.5	66.12
-19.23	9.46	15.77	86.47
-23.5	13.73	16.11	86.47
-26.25	14.04	16.46	71.21
-26.86	10.07	16.74	40.69
-25.94	3.36	16.91	-5.09
-24.11	-3.05	16.89	-55.95
-21.06	-7.32	16.66	-116.99
-17.4	-10.68	16.2	-172.94
-13.43	-15.87	15.5	-208.54
-9.46	-24.72	14.67	-233.98
-4.58	-36.62	13.73	-223.8
2.44	-45.78	12.84	-198.37
14.04	-43.03	12.04	-152.59
33.87	-17.7	11.43	-81.38
68.36	40.59	11.11	-10.17
126.65	140.08	11.07	55.95
213.01	281.68	11.29	111.9
317.99	449.22	11.74	157.68
409.85	606.08	12.37	183.11
444.34	704.35	13.1	188.2
393.07	709.23(R)	13.86	183.11
268.86	624.69	14.59	162.77
122.68	492.86	15.24	132.25
16.48	361.02	15.77	86.47
-19.53	256.96	16.11	30.52
-3.36	177.61	16.24	-30.52
20.45	108.34	16.11	-81.38
18.92	48.22	15.79	-116.99
