  I     	  II     	  AO     	  AO'		
-11.60   	449.22   	167.83   	 376.40		
 -4.88   	456.54   	169.34   	 361.14		
 -1.22   	462.65   	170.78   	 345.88		
 -2.14   	465.09   	172.17   	 335.71		
 -6.41   	462.34   	173.51   	 315.36		
-11.29   	454.10   	174.77   	 305.19		
-14.04   	441.28   	175.99   	 289.93		
-14.65   	423.89   	177.15   	 279.75		
-13.43   	402.83   	178.27   	 269.58		
-11.29   	378.42   	179.35   	 254.32		
 -8.54   	351.56   	180.37   	 239.06		
 -6.10   	321.35   	181.32   	 223.80		
 -4.88   	286.25   	182.22   	 208.54		
 -4.88   	245.97   	183.05   	 193.29		
 -5.80   	203.55   	183.82   	 172.94		
 -5.49   	162.96   	184.52   	 157.68		
 -3.36   	127.26   	185.15   	 137.33		
 -1.22   	 96.44   	185.70   	 111.90		
 -0.31   	 67.14   	186.14   	  86.47		
 -2.44   	 36.32   	186.49   	  55.95		
 -6.71   	  5.49   	186.71   	  25.43		
-11.29   	-22.89   	186.82   	  -5.09		
-14.34   	-44.86   	186.79   	 -40.69		
-16.17   	-61.04   	186.63   	 -81.38		
-17.09   	-73.24   	186.31   	-116.99		
-16.48   	-83.01   	185.84   	-157.68		
-13.43   	-90.03   	185.21   	-208.54		
 -9.46   	-93.99   	184.37   	-244.15		
 -6.41   	-96.44   	183.40   	-295.01		
 -6.41   	-99.49   	182.22   	-335.71		
-10.07   	-106.20   	180.87   	-366.22		
-14.95   	-115.36   	179.41   	-396.74		
-17.40   	-124.51   	177.82   	-417.09		
-16.48   	-129.70   	176.15   	-427.26		
-13.12   	-129.39   	174.44   	-437.43		
 -9.77   	-125.43   	172.70   	-442.52		
 -9.16   	-121.15   	170.93   	-437.43		
-10.38   	-118.71   	169.18   	-437.43		
-13.43   	-119.32   	167.43   	-427.26		
-16.78   	-121.15   	165.72   	-422.18		
-18.62   	-121.77   	164.03   	-406.92		
-19.53   	-120.24   	162.40   	-391.66		
-19.53   	-117.19   	160.83   	-381.48		
-19.23   	-114.14   	159.31   	-361.14		
-18.92   	-112.61   	157.86   	-350.97		
-18.31   	-111.69   	156.46   	-335.71		
