  I     	  II     	  AO     	  AO'		
-20.45   	-76.60   	100.63   	 -86.47		
-14.65   	-75.07   	100.28   	 -91.56		
 -9.77   	-77.21   	 99.92   	 -96.64		
-10.07   	-82.40   	 99.53   	-101.73		
-15.56   	-88.20   	 99.12   	-106.82		
-22.89   	-90.03   	 98.70   	-106.82		
-26.25   	-86.67   	 98.27   	-111.90		
-24.11   	-79.96   	 97.82   	-116.99		
-19.23   	-74.77   	 97.35   	-122.07		
-16.17   	-72.33   	 96.87   	-116.99		
-16.48   	-72.94   	 96.40   	-116.99		
-18.92   	-74.16   	 95.93   	-111.90		
-21.06   	-74.77   	 95.48   	-111.90		
-20.75   	-74.77   	 95.04   	-106.82		
-18.62   	-75.38   	 94.61   	-101.73		
-15.26   	-75.99   	 94.20   	 -96.64		
-11.60   	-76.29   	 93.81   	 -96.64		
 -8.54   	-77.51   	 93.43   	 -91.56		
 -6.10   	-79.65   	 93.06   	 -86.47		
 -3.97   	-82.70   	 92.72   	 -91.56		
 -3.66   	-86.36   	 92.35   	 -81.38		
 -5.80   	-90.03   	 92.02   	 -86.47		
-11.60   	-93.38   	 91.68   	 -81.38		
-19.23   	-95.83   	 91.35   	 -81.38		
-24.11   	-98.27   	 91.03   	 -81.38		
-23.19   	-100.71   	 90.70   	 -81.38		
-17.09   	-103.45   	 90.38   	 -81.38		
-10.38   	-106.20   	 90.05   	 -81.38		
 -7.93   	-109.56   	 89.72   	 -81.38		
-10.07   	-112.61   	 89.40   	 -86.47		
-13.12   	-115.36   	 89.05   	 -86.47		
-13.73   	-117.80   	 88.71   	 -91.56		
-10.38   	-120.85   	 88.34   	 -91.56		
 -6.41   	-123.60   	 87.98   	 -96.64		
 -5.49   	-125.12   	 87.59   	-101.73		
 -8.54   	-125.73   	 87.18   	 -96.64		
-12.21   	-124.51   	 86.80   	-106.82		
-12.51   	-121.77   	 86.37   	-101.73		
 -7.63   	-117.19   	 85.96   	-101.73		
  0.61   	-112.61   	 85.55   	-101.73		
  6.71   	-110.17   	 85.15   	-101.73		
  7.63   	-111.08   	 84.74   	-101.73		
  2.75   	-115.36   	 84.33   	-101.73		
 -4.27   	-120.85   	 83.93   	 -96.64		
 -8.85   	-124.51   	 83.54   	 -96.64		
 -9.16   	-125.43   	 83.15   	 -91.56		
 -7.02   	-124.51   	 82.79   	 -86.47		
 -4.27   	-123.60   	 82.44   	 -86.47		
 -2.44   	-121.46   	 82.10   	 -76.30		
 -0.61   	-117.19   	 81.79   	 -81.38		
  1.22   	-111.08   	 81.46   	 -71.21		
  2.44   	-106.51   	 81.18   	 -71.21		
  1.22   	-107.12   	 80.89   	 -71.21		
