  I     	  II     	  AO     	  AO'		
-103.15   	-151.67   	 99.65   	  40.69		
-104.06   	-141.60   	 99.82   	  86.47		
-103.15   	-130.92   	100.16   	 127.16		
-101.01   	-126.34   	100.67   	 188.20		
-99.79   	-129.39   	101.42   	 239.06		
-99.79   	-137.33   	102.38   	 295.01		
-101.32   	-145.26   	103.56   	 350.97		
-102.54   	-149.23   	104.96   	 391.66		
-102.54   	-148.01   	106.53   	 437.43		
-100.10   	-143.13   	108.28   	 473.04		
-96.74   	-136.72   	110.17   	 498.47		
-93.69   	-130.31   	112.17   	 528.99		
-92.47   	-125.12   	114.28   	 544.25		
-92.47   	-121.46   	116.46   	 569.68		
-92.77   	-119.93   	118.74   	 579.86		
-92.16   	-119.32   	121.06   	 590.03		
-91.25   	-118.71   	123.42   	 600.20		
-90.64   	-116.88   	125.82   	 605.29		
-90.03   	-114.14   	128.24   	 610.37		
-89.42   	-112.00   	130.68   	 605.29		
-88.81   	-111.08   	133.10   	 605.29		
-88.81   	-110.47   	135.52   	 600.20		
-89.72   	-108.03   	137.92   	 590.03		
-90.64   	-102.84   	140.28   	 579.86		
-90.94   	-96.13   	142.60   	 574.77		
-90.03   	-89.72   	144.90   	 554.42		
-87.89   	-85.75   	147.12   	 549.34		
-85.75   	-83.31   	149.32   	 539.16		
-84.53   	-80.87   	151.47   	 528.99		
-83.92   	-76.60   	153.59   	 518.82		
-84.23   	-71.72   	155.67   	 508.65		
-84.23   	-66.22   	157.70   	 498.47		
-83.62   	-61.04   	159.69   	 493.39		
-83.62   	-55.24   	161.67   	 488.30		
-83.31   	-47.61   	163.62   	 473.04		
-83.01   	-37.54   	165.51   	 467.95		
-82.70   	-24.41   	167.38   	 457.78		
-81.79   	-10.07   	169.22   	 447.61		
-80.87   	  4.27   	171.01   	 442.52		
-79.96   	 16.17   	172.78   	 427.26		
-79.35   	 23.80   	174.49   	 417.09		
-79.04   	 27.16   	176.15   	 406.92		
-79.35   	 27.77   	177.78   	 396.74		
-80.57   	 28.38   	179.37   	 386.57		
-81.79   	 31.43   	180.91   	 371.31		
-81.48   	 36.62   	182.40   	 366.22		
-79.65   	 41.50   	183.86   	 350.97		
-76.29   	 44.25   	185.27   	 340.79		
-72.33   	 43.64   	186.63   	 325.53		
-69.27   	 42.42   	187.93   	 315.36		
-66.53   	 43.03   	189.20   	 289.93		
-63.78   	 46.39   	190.36   	 279.75		
-59.81   	 51.57   	191.47   	 259.41		
-54.93   	 55.85   	192.51   	 244.15		
-50.05   	 57.37   	193.49   	 218.72		
-46.69   	 56.46   	194.36   	 203.46		
-44.86   	 53.71   	195.18   	 188.20		
-44.56   	 50.05   	195.93   	 162.77		
-44.56   	 44.56   	196.58   	 147.51		
-43.95   	 37.23   	197.17   	 122.07		
-43.03   	 28.08   	197.66   	 106.82		
